基因	变异分类	肿瘤类型		变异等级	证据类型	靶向药物	临床意义类别	临床意义描述
ALK	ALK Fusion/rearrange	非小细胞肺癌		I	治疗	阿来替尼、布格替尼、洛拉替尼、塞瑞替尼、克唑替尼、恩沙替尼	敏感	NCCN非小细胞肺癌指南推荐阿来替尼、布格替尼、洛拉替尼、塞瑞替尼、克唑替尼可用于ALK融合阳性的转移性NSCLC患者的一线治疗，其中阿来替尼、布格替尼、洛拉替尼为首选推荐，塞瑞替尼为其他推荐，克唑替尼用于特殊情况，以上药物均已被FDA和NMPA批准用于ALK融合的转移性非小细胞肺癌。另外，2020年NMPA批准恩沙替尼用于此前接受过克唑替尼治疗后进展的或者对克唑替尼不耐受的ALK阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗。2022年NMPA批准恩沙替尼用于ALK阳性的非小细胞肺癌（NSCLC）一线治疗。
ROS1	ROS1 Fusion/rearrange	非小细胞肺癌		I	治疗	entrectinib、克唑替尼、塞瑞替尼、洛拉替尼	敏感	NCCN非小细胞肺癌指南提示，entrectinib、克唑替尼、塞瑞替尼（某些情况）用于ROS1融合阳性的晚期或转移性NSCLC患者的一线治疗，洛拉替尼用于ROS1融合阳性接受entrectinib、克唑替尼或塞瑞替尼治疗后进展的转移性NSCLC患者的后续治疗。目前，FDA批准entrectinib、克唑替尼用于ROS1阳性的转移性非小细胞肺癌，NMPA已批准克唑替尼用于ROS1阳性的晚期非小细胞肺癌（NSCLC）患者的治疗。
RET	RET Fusion	非小细胞肺癌		I	治疗	Selpercatinib、普拉替尼、卡博替尼	敏感	NCCN非小细胞肺癌指南提示，selpercatinib、普拉替尼、卡博替尼（某些情况下）用于RET重排阳性的转移性非小细胞肺癌的一线治疗。其中selpercatinib、普拉替尼已经被FDA批准，普拉替尼被NMPA批准用于RET融合阳性的转移性非小细胞肺癌。
BRAF	BRAF V600E	非小细胞肺癌		I	治疗	达拉非尼+曲美替尼、维莫非尼、达拉非尼	敏感	NCCN非小细胞肺癌指南提示，达拉非尼+曲美替尼联合治疗可用于BRAF V600E阳性的转移性NSCLC患者的一线治疗（首选方案），如果患者对达拉非尼+曲美替尼联合治疗不耐受，维莫非尼单药、达拉非尼单药治疗可作为治疗选择。FDA和NMPA均已批准达拉非尼+曲美替尼联合治疗用于BRAF V600E突变的转移性非小细胞肺癌(NSCLC)患者的治疗。
KRAS	KRAS G12C	非小细胞肺癌		I	治疗	Sotorasib	敏感	FDA批准且NCCN非小细胞肺癌指南提示，sotorasib可用于携带KRAS G12C突变且既往接受过至少1种全身治疗后耐药的非小细胞肺癌患者。
MET	MET exon 14 skipping	非小细胞肺癌		I	治疗	Capmatinib、Tepotinib、克唑替尼、赛沃替尼	敏感	NCCN非小细胞肺癌指南提示，Capmatinib、Tepotinib、克唑替尼（特殊情况下）可用携带于MET第14号外显子跳跃的转移性NSCLC患者的一线治疗。NMPA批准赛沃替尼用于含铂化疗后疾病进展或不耐受标准含铂化疗的携带MET第14号外显子跳跃的局部晚期或转移性非小细胞肺癌成人患者。
MET	MET High level amplification	非小细胞肺癌		I	治疗	Capmatinib、Tepotinib、克唑替尼	敏感	NCCN非小细胞肺癌指南提示，Capmatinib、Tepotinib、克唑替尼用于MET高水平扩增的转移性NSCLC患者。
ERBB2	ERBB2 Mutation	非小细胞肺癌		I	治疗	恩美曲妥珠单抗、Fam-Trastuzumab Deruxtecan-Nxki	敏感	NCCN非小细胞肺癌指南提示，恩美曲妥珠单抗、Fam-trastuzumab deruxtecan-nxki可用于携带ERBB2致病或可能致病突变的转移性NSCLC患者。非小细胞CSCO诊疗指南（2022）提示，吡咯替尼可用于携带ERBB2突变的IV期NSCLC的后线治疗(III级推荐)。
NTRK1	NTRK1/2/3 Fusion	实体瘤		I	治疗	拉罗替尼、entrectinib	敏感	FDA批准拉罗替尼、entrectinib用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。NMPA批准拉罗替尼用于治疗经充分验证的检测方法诊断为NTRK基因融合且无已知获得性耐药突变，局部晚期、转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。
NTRK2	NTRK1/2/3 Fusion	实体瘤		I	治疗	拉罗替尼、entrectinib	敏感	FDA批准拉罗替尼、entrectinib用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。NMPA批准拉罗替尼用于治疗经充分验证的检测方法诊断为NTRK基因融合且无已知获得性耐药突变，局部晚期、转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。
NTRK3	NTRK1/2/3 Fusion	实体瘤		I	治疗	拉罗替尼、entrectinib	敏感	FDA批准拉罗替尼、entrectinib用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。NMPA批准拉罗替尼用于治疗经充分验证的检测方法诊断为NTRK基因融合且无已知获得性耐药突变，局部晚期、转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。
KRAS	NRAS exon 2/3/4 mutation	结直肠癌		I	治疗	西妥昔单抗、Panitumumab	耐药	NCCN结肠癌指南提示，携带有KRAS突变(外显子2、3、4)或NRAS突变(外显子2、3、4)的结直肠癌患者不应该接受西妥昔单抗或Panitumumab的治疗。FDA禁止西妥昔单抗、Panitumumab用于治疗携带RAS突变或RAS突变未知的结直肠癌患者，RAS突变代表KRAS或NRAS的外显子2(密码子12和13)、外显子3(密码子59和61)和外显子4(密码子117和146)体细胞突变。
NRAS	NRAS exon 2/3/4 mutation	结直肠癌		I	治疗	西妥昔单抗、Panitumumab	耐药	NCCN结肠癌指南提示，携带有KRAS突变(外显子2、3、4)或NRAS突变(外显子2、3、4)的结直肠癌患者不应该接受西妥昔单抗或Panitumumab的治疗。FDA禁止西妥昔单抗、Panitumumab用于治疗携带RAS突变或RAS突变未知的结直肠癌患者，RAS突变代表KRAS或NRAS的外显子2(密码子12和13)、外显子3(密码子59和61)和外显子4(密码子117和146)体细胞突变。
KRAS/NRAS/BRAF	KRAS/NRAS/BRAF WT	结直肠癌		I	治疗	西妥昔单抗、Panitumumab	敏感	NCCN结肠癌指南建议所有转移性结直肠癌患者需进行RAS(KRAS和NRAS)基因组织检测。具有任何已知的KRAS突变（外显子2、3、4）或者NRAS突变（外显子2、3、4）的患者都不应用西妥昔单抗和帕尼单抗治疗。有证据表明，肿瘤起源于结肠右侧（通过盲肠的肝屈曲）的患者不太可能对西妥昔单抗和帕尼单抗在转移性疾病的一线治疗中产生反应。对于KRAS/NRAS/BRAF野生型的结直肠癌患者推荐使用西妥昔单抗、帕尼单抗、FOLFOX + （西妥昔单抗或帕尼单抗）、FOLFIRI + （西妥昔单抗或帕尼单抗）、FOLFOXIRI +（西妥昔单抗或帕尼单抗）或伊立替康 + （西妥昔单抗或帕尼单抗）治疗。
BRAF	BRAF V600E	结直肠癌		I	治疗	西妥昔单抗+encorafenib	敏感	NCCN结肠癌指南提示，encorafenib联合西妥昔单抗/Panitumumab用于携带BRAF V600E突变的转移性结直肠癌(CRC)患者的治疗。FDA批准西妥昔单抗联合encorafenib用于携带BRAF V600E突变的成人转移性结直肠癌(CRC)患者的治疗。
ERBB2	ERBB2 amplification	结直肠癌		I	治疗	曲妥珠单抗+帕妥珠单抗	敏感	NCCN结肠癌指南提示，曲妥珠单抗+帕妥珠单抗/拉帕替尼或fam-trastuzumab deruxtecan-nxki可用于HER2扩增且RAS和BRAF野生型的转移性结直肠癌患者。
BRCA1	BRCA Mutation (germline)	乳腺癌		I	治疗	奥拉帕利、Talazoparib	敏感	NCCN乳腺癌指南提示，奥拉帕利、Talazoparib可用于BRCA1/2胚系突变的乳腺癌患者。FDA批准奥拉帕利用于:1.已接受新辅助或辅助化疗的携带有害或疑似有害gBRCAm人表皮生长因子受体2 (HER2)阴性高危早期乳腺癌成人患者的辅助治疗；2.用于治疗携带有害或疑似有害胚系BRCA突变(gBRCAm)且HER2(ERBB2)阴性的转移性乳腺癌成人患者，这些患者既往需在新辅助，辅助或转移性治疗中接受过相关化疗，激素受体（HR）阳性且接受过内分泌治疗或被认为不适合内分泌治疗。Talazoparib是一种PARP抑制剂，FDA批准Talazoparib用于治疗携带有害或疑似有害胚系BRCA突变(gBRCAm)HER2阴性的局部晚期或转移性乳腺癌的成年患者。
BRCA2	BRCA Mutation (germline)	乳腺癌		I	治疗	奥拉帕利、Talazoparib	敏感	NCCN乳腺癌指南提示，奥拉帕利、Talazoparib可用于BRCA1/2胚系突变的乳腺癌患者。FDA批准奥拉帕利用于:1.已接受新辅助或辅助化疗的携带有害或疑似有害gBRCAm人表皮生长因子受体2 (HER2)阴性高危早期乳腺癌成人患者的辅助治疗；2.用于治疗携带有害或疑似有害胚系BRCA突变(gBRCAm)且HER2(ERBB2)阴性的转移性乳腺癌成人患者，这些患者既往需在新辅助，辅助或转移性治疗中接受过相关化疗，激素受体（HR）阳性且接受过内分泌治疗或被认为不适合内分泌治疗。Talazoparib是一种PARP抑制剂，FDA批准Talazoparib用于治疗携带有害或疑似有害胚系BRCA突变(gBRCAm)HER2阴性的局部晚期或转移性乳腺癌的成年患者。
PIK3CA	PIK3CA activating Mutation	乳腺癌		I	治疗	Alpelisib+氟维司群	敏感	NCCN乳腺癌指南提示，Alpelisib+氟维司群联合治疗可用于携带PIK3CA激活突变的HR阳性HER2阴性的二线治疗。Alpelisib是一种激酶抑制剂，FDA批准Alpelisib与氟维司群联合治疗用于治疗激素受体(HR)阳性、人表皮生长因子受体2 (HER2)阴性携带PIK3CA突变在内分泌治疗方案进展或之后绝经后的女性和男性晚期或转移性乳腺癌。
ERBB2	ERBB2 amplification	乳腺癌		I	治疗	帕妥珠单抗+曲妥珠单抗+紫杉醇、帕妥珠单抗+曲妥珠单抗+多西紫杉醇	敏感	NCCN乳腺癌指南提示，ERBB2（HER2）阳性的乳腺癌患者一线治疗可选择帕妥珠单抗+曲妥珠单抗+紫杉醇或帕妥珠单抗+曲妥珠单抗+多西紫杉醇进行治疗。
BRCA	BRCA Mutation	卵巢癌包括输卵管癌和原发性腹膜癌		I	治疗	贝伐珠单抗+奥拉帕利、奥拉帕利、尼拉帕利、rucaparib	敏感	NCCN卵巢癌包括输卵管癌和原发性腹膜癌指南提示，贝伐珠单抗+奥拉帕利、奥拉帕利、尼拉帕利联合可用于携带BRCA突变以对一线铂基化疗有完全或部分反应的成年晚期卵巢上皮性、输卵管或原发性腹膜癌患者的维持治疗；奥拉帕利、尼拉帕利、rucaparib可用于已完成两种或两种以上铂类基础治疗的铂敏感疾病患者(首选BRCA突变患者)的上皮性卵巢、输卵管或原发性腹膜癌持续性或疾病复发的治疗。NMPA批准氟唑帕利：1.用于治疗既往经过二线及以上化疗的伴有胚系BRCA突变(gBRCAm)的铂敏感复发性卵巢癌、输卵管癌或原发性腹膜癌；2.用于铂敏感复发性上皮性卵巢癌、输卵管癌或原发性腹膜癌成人患者在含铂化疗达到完全缓解或部分缓解后的维持治疗。NMPA批准帕米帕利用于既往经过二线及以上化疗的伴有胚系BRCA(gBRCA)突变的复发性晚期卵巢癌、输卵管癌或原发性腹膜癌患者的治疗。
FGFR2	FGFR2 Mutation	膀胱癌	尿路上皮癌	I	治疗	erdafitinib	敏感	NCCN膀胱癌指南提示，erdafitinib可用于含铂治疗方案进展后伴有FGFR2/3改变的晚期或转移性尿路上皮癌患者的治疗中。erdafitinib是一种激酶抑制剂，FDA批准erdafitinib用于治疗局部晚期或转移性尿路上皮癌(mUC)的成年患者，这些患者具有FGFR3或FGFR2易感基因改变，并在至少一种含铂化疗期间或之后进展，包括在12个月的新辅助治疗或治疗期间辅助platinum-containing化疗。
FGFR2	FGFR2 Fusion	膀胱癌	尿路上皮癌	I	治疗	erdafitinib	敏感	NCCN膀胱癌指南提示，erdafitinib可用于含铂治疗方案进展后伴有FGFR2/3改变的晚期或转移性尿路上皮癌患者的治疗中。erdafitinib是一种激酶抑制剂，FDA批准erdafitinib用于治疗局部晚期或转移性尿路上皮癌(mUC)的成年患者，这些患者具有FGFR3或FGFR2易感基因改变，并在至少一种含铂化疗期间或之后进展，包括在12个月的新辅助治疗或治疗期间辅助platinum-containing化疗。
FGFR2	FGFR3 Mutation	膀胱癌	尿路上皮癌	I	治疗	erdafitinib	敏感	NCCN膀胱癌指南提示，erdafitinib可用于含铂治疗方案进展后伴有FGFR2/3改变的晚期或转移性尿路上皮癌患者的治疗中。erdafitinib是一种激酶抑制剂，FDA批准erdafitinib用于治疗局部晚期或转移性尿路上皮癌(mUC)的成年患者，这些患者具有FGFR3或FGFR2易感基因改变，并在至少一种含铂化疗期间或之后进展，包括在12个月的新辅助治疗或治疗期间辅助platinum-containing化疗。
FGFR2	FGFR3 Fusion	膀胱癌	尿路上皮癌	I	治疗	erdafitinib	敏感	NCCN膀胱癌指南提示，erdafitinib可用于含铂治疗方案进展后伴有FGFR2/3改变的晚期或转移性尿路上皮癌患者的治疗中。erdafitinib是一种激酶抑制剂，FDA批准erdafitinib用于治疗局部晚期或转移性尿路上皮癌(mUC)的成年患者，这些患者具有FGFR3或FGFR2易感基因改变，并在至少一种含铂化疗期间或之后进展，包括在12个月的新辅助治疗或治疗期间辅助platinum-containing化疗。
FGFR2	FGFR2 Fusion	胆管癌	胆管癌	I	治疗	infigratinib、erdafitinib	敏感	NCCN肝胆肿瘤指南提示，infigratinib、erdafitinib可用于FGFR2融合或重排的胆管癌患者的后续治疗。FDA批准infigratinib、pemigatinib用于携带FGFR2融合或重排的既往接受过治疗的不能切除的局部晚期或转移性成人胆管癌的治疗。
IDH1	IDH1 Mutation	胆管癌	胆管癌	I	治疗	ivosidenib	敏感	NCCN肝胆肿瘤指南提示，ivosidenib可用于IDH1突变的胆管癌患者进展后的后续治疗。ivosidenib是一种异柠檬酸脱氢酶-1 (IDH1)抑制剂，FDA批准ivosidenib用于治疗IDH1突变的曾接受过治疗的局部晚期或转移性胆管癌成人患者。
BRAF	BRAF V600E	胆道癌		I	治疗	达拉非尼+曲美替尼	敏感	NCCN肝胆肿瘤指南提示，达拉非尼联合曲美替尼可用于BRAF V600E突变的胆管癌患者进展后的后续治疗。
ERBB2	ERBB2 amplification	胃癌		I	治疗	曲妥珠单抗、曲妥珠单抗联合奥沙利铂/顺铂+5-FU/卡培他滨、维迪西妥单抗	敏感	NCCN胃癌指南提示，对于ERBB2(HER2)基因扩增阳性的胃腺癌，一线化疗应增加曲妥珠单抗。CSCO胃癌诊疗指南提示，曲妥珠单抗联合奥沙利铂/顺铂+5-FU/卡培他滨用于HER2阳性的晚期转移性胃癌的一线治疗（I级推荐）。NMPA批准维迪西妥单抗适用于至少接受过2种系统化疗的ERBB2(HER2)过表达的局部晚期或转移性胃癌（包括胃食管结合部腺癌）患者的治疗。
BRAF	BRAF V600E	甲状腺癌	未分化甲状腺癌	I	治疗	达拉非尼+曲美替尼	敏感	NCCN甲状腺癌指南提示，达拉非尼联合曲美替尼可用于BRAF V600E突变未分化甲状腺癌的新辅助治疗。FDA批准达拉非尼联合曲美替尼用于BRAF V600E突变的没有合适的局部治疗方案的局部晚期或转移性间变性甲状腺癌(ATC)患者。
BFAF	BRAF Mutation	甲状腺癌		I	治疗	达拉非尼、维莫非尼	敏感	NCCN甲状腺癌指南提示，小分子抑制剂达拉非尼、维莫非尼可考虑用于BRAF阳性的甲状腺癌乳头状癌的治疗，如果临床试验不可用或不合适。
RET	RET Fusion	甲状腺癌		I	治疗	Selpercatinib、普拉替尼	敏感	NCCN指南提示，RET重排阳性的甲状腺癌治疗可选择塞尔帕替尼（Selpercatinib）或普拉替尼（Pralsetinib）。FDA批准Selpercatinib、Pralsetinib用于携带RET基因融合阳性的需要进行全身治疗且放射性碘难治的甲状腺癌成人和12岁及以上的儿童患者。
RET	RET Mutation	甲状腺癌	甲状腺髓样癌	I	治疗	Selpercatinib、普拉替尼	敏感	NCCN指南提示，Selpercatinib、普拉替尼可用于RET突变阳性的复发性或持续性的甲状腺髓样癌的治疗。FDA批准Selpercatinib、普拉替尼用于携带RET突变，需要接受全身治疗的的晚期或转移性甲状腺髓样癌(MTC)成人和12岁及以上的儿童患者的治疗。
BRAF	BRAF V600E	黑色素瘤		I	治疗	达拉非尼、维莫非尼、曲美替尼、达拉非尼+曲美替尼、binimetinib+encorafenib、cobimetinib+维莫非尼	敏感	FDA批准单药治疗：达拉非尼、维莫非尼、曲美替尼；联合治疗：达拉非尼+曲美替尼、binimetinib+encorafenib、cobimetinib+维莫非尼用于BRAF V600E突变的不可切除或转移性黑色素瘤患者的治疗。NMPA批准达拉非尼联合曲美替尼适用于治疗BRAF V600突变阳性的不可切除或转移性黑色素瘤患者；2.达拉非尼联合曲美替尼适用于BRAF V600突变阳性的III期黑色素瘤患者完全切除后的辅助治疗。
BRAF	BRAF V600K	黑色素瘤		I	治疗	曲美替尼、达拉非尼+曲美替尼、binimetinib+encorafenib、cobimetinib+维莫非尼	敏感	FDA批准单药治疗：曲美替尼；联合治疗：达拉非尼+曲美替尼、binimetinib+encorafenib、cobimetinib+维莫非尼用于BRAF V600E或V600K突变的不可切除或转移性黑色素瘤患者的治疗。
BRAF	BRAF V600 Mutation	黑色素瘤		I	治疗	达拉非尼+曲美替尼、binimetinib+encorafenib、cobimetinib+维莫非尼	敏感	黑色素瘤NCCN指南提示，达拉非尼+曲美替尼、binimetinib+encorafenib、cobimetinib+维莫非尼可用于携带BRAF V600激活突变的不可切除或转移性黑色素瘤患者的一线治疗。
KIT	KIT exon 9 mutation	胃肠道间质瘤		I	治疗	伊马替尼、sunitinib、regorafenib、ripretinib	敏感	NCCN胃肠道间质瘤指南提示，KIT突变有助于胃肠道间质瘤的诊断。NCCN胃肠道间质瘤指南提示，伊马替尼可用于携带KIT敏感突变（KIT第9号外显子突变）的局部晚期、不可切除或转移性胃肠道间质瘤(GIST)患者的一线治疗；与KIT第11号外显子突变相比，KIT第9号外显子突变的胃肠道间质瘤患者对伊马替尼400mg/d有更低的应答率和更短的无进展生存期（PFS），增加伊马替尼剂量到400mg BID与更好的PFS相关。另外sunitinib适用于伊马替尼耐药或伊马替尼不耐受的患者；regorafenib适用于伊马替尼和sunitinib治疗后疾病进展的患者；ripretinib适用于先前接受过3种或更多激酶抑制剂治疗的患者。另外在ripretinib 150mg/d治疗进展后，使用ripretinib150mg BID可获得额外的临床益处。
KIT	KIT exon 11 mutation	胃肠道间质瘤		I	治疗	伊马替尼、sunitinib、regorafenib、ripretinib	敏感	NCCN胃肠道间质瘤指南提示，KIT突变有助于胃肠道间质瘤的诊断。NCCN胃肠道间质瘤指南提示，携带KIT第11号外显子突变的胃肠道间质瘤对伊马替尼敏感，增加伊马替尼剂量可提高治疗应答率；sunitinib适用于伊马替尼耐药或伊马替尼不耐受的患者；regorafenib适用于伊马替尼和sunitinib治疗后疾病进展的患者；ripretinib适用于先前接受过3种或更多激酶抑制剂治疗的患者。另外在ripretinib 150mg/d治疗进展后，使用ripretinib 150mg BID可获得额外的临床益处。
PDGFRA	PDGFRA D842V	胃肠道间质瘤		I	治疗	伊马替尼	耐药	CSCO胃肠道间质瘤诊疗指南提示，PDGFRA D842V突变对伊马替尼原发耐药。NCCN胃肠道间质瘤指南提示，Avapritinib可用于PDGFRA外显子18突变（包括PDGFRA D842V突变）对伊马替尼不敏感的胃肠道间质瘤的治疗。
PDGFRA	PDGFRA D842V	胃肠道间质瘤		I	治疗	阿伐替尼	敏感	CSCO胃肠道间质瘤诊疗指南提示，PDGFRA D842V突变对伊马替尼原发耐药。NCCN胃肠道间质瘤指南提示，Avapritinib可用于PDGFRA外显子18突变（包括PDGFRA D842V突变）对伊马替尼不敏感的胃肠道间质瘤的治疗。
PDGFRA	PDGFRA exon 18 mutation（excluding PDGFRA D842V）	胃肠道间质瘤		I	治疗	伊马替尼、阿伐替尼	敏感	NCCN胃肠道间质瘤指南提示，伊马替尼可用于PDGFRA外显子18突变(除PDGFRA D842V以外)的不可切除的、进展性或转移性胃肠道间质瘤的一线治疗；Avapritinib可用于PDGFRA外显子18突变（包括PDGFRA D842V突变）对伊马替尼不敏感的胃肠道间质瘤的治疗。
BRCA1	BRCA Mutation (germline)	胰腺癌		I	治疗	奥拉帕利	敏感	NCCN胰腺癌指南提示，奥拉帕利可用于携带BRCA1/2胚系突变的转移性胰腺癌患者的维持治疗。FDA批准奥拉帕利用于携带有害或疑似有害的gBRCAm的转移性胰腺腺癌的成人患者在一线铂化疗方案中至少16周没有进展的维持治疗。
BRCA2	BRCA Mutation (germline)	胰腺癌		I	治疗	奥拉帕利	敏感	NCCN胰腺癌指南提示，奥拉帕利可用于携带BRCA1/2胚系突变的转移性胰腺癌患者的维持治疗。FDA批准奥拉帕利用于携带有害或疑似有害的gBRCAm的转移性胰腺腺癌的成人患者在一线铂化疗方案中至少16周没有进展的维持治疗。
BRCA1	BRCA Mutation	前列腺癌		I	治疗	奥拉帕利、rucaparib	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。NCCN前列腺癌指南提示，Rucaparib是携带BRCA1或BRCA2致病突变(胚系和/或体细胞)mCRPC患者的一种治疗选择，这些患者已接受雄激素受体定向治疗和紫杉烷为基础的化疗。如果患者不适合化疗，即使没有给予紫杉烷为基础的治疗，也可以考虑使用rucaparib。
